epoch,train_loss,val_loss,val_accuracy,val_f1_macro
1,2.4382718563079835,2.2370047569274902,0.2222222222222222,0.1980266177617292
2,2.1003916919231416,1.9454520046710968,0.46296296296296297,0.44690357902935085
3,1.8289383232593537,1.7093122005462646,0.6805555555555556,0.6512874736437456
4,1.6003193020820619,1.5083067417144775,0.7268518518518519,0.693087517375214
