policy,accuracy,f1_macro,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_samples_per_s,offloaded_fraction,bandwidth_kb_per_sample,edge_model,cloud_model,hybrid_secondary_model
edge_only,0.6972222222222222,0.6722996620765864,0.01751583344820473,0.016921749338507652,0.020520750433206558,0.025744877755641937,57091.202822694926,0.0,0.0,linear,cnn,
cloud_only,0.20833333333333334,0.17151012509503075,42.20257703993055,42.20240020751953,42.20352554321289,42.20501708984375,23.695235460475224,1.0,0.375,linear,cnn,
hybrid,0.20833333333333334,0.17151012509503075,42.2200927734375,42.219383239746094,42.224517822265625,42.22836685180664,23.685405083456935,1.0,0.375,linear,cnn,
