policy,accuracy,f1_macro,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_samples_per_s,offloaded_fraction,bandwidth_kb_per_sample,edge_model,cloud_model,hybrid_secondary_model
edge_only,0.6972222222222222,0.6722996620765864,0.01719072252098057,0.016416750848293304,0.022276122123003006,0.02492712065577507,58170.91159371231,0.0,0.0,linear,cnn,
cloud_only,0.20833333333333334,0.17151012509503075,42.202378336588545,42.20223617553711,42.20355224609375,42.20472717285156,23.695347025810197,1.0,0.375,linear,cnn,
hybrid,0.20833333333333334,0.17151012509503075,42.21956905788846,42.21860885620117,42.224578857421875,42.22883605957031,23.685698890693825,1.0,0.375,linear,cnn,
