policy,accuracy,f1_macro,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_samples_per_s,offloaded_fraction,bandwidth_kb_per_sample,edge_model,cloud_model,hybrid_secondary_model
edge_only,0.5317271801832372,0.514410442844091,0.013012133063422974,0.011679687537252903,0.0188983753323555,0.03349993750452995,76851.35059147172,0.0,0.0,linear,gru,cnn
cloud_only,0.8907363420427553,0.8909875578220929,78.2757889094254,78.27560424804688,78.27685546875,78.279541015625,12.775342336787196,1.0,4.75,linear,gru,cnn
hybrid,0.8965049202578894,0.8970963086352,0.140789932023366,0.18836981058120728,0.20448175072669983,0.215958371758461,7102.780615264708,0.7125890736342043,0.0,linear,gru,cnn
