policy,accuracy,f1_macro,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_samples_per_s,offloaded_fraction,bandwidth_kb_per_sample,edge_model,cloud_model,hybrid_secondary_model
edge_only,0.6972222222222222,0.6722996620765864,0.01727623978836669,0.016781123355031013,0.02015087381005287,0.026161503046751022,57882.965983915696,0.0,0.0,linear,cnn,
cloud_only,0.20833333333333334,0.17151012509503075,42.20234612358941,42.202266693115234,42.20283508300781,42.20317840576172,23.695365112439575,1.0,0.375,linear,cnn,
hybrid,0.20833333333333334,0.17151012509503075,42.21962229410807,42.21913146972656,42.22270965576172,42.22870635986328,23.685669024555775,1.0,0.375,linear,cnn,
