model,model_label,training_time_s,best_val_loss,test_accuracy,test_f1_macro,checkpoint_path
linear,Linear baseline,0.1155144999793265,1.5083067417144775,0.6972222222222222,0.6722996620765864,/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/results/baseline_quick_20260830_035215_315206/models/linear.pt
mlp,Small MLP,0.09379270797944628,0.3337154649198055,0.9166666666666666,0.9149990082630486,/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/results/baseline_quick_20260830_035215_315206/models/mlp.pt
cnn,Tiny CNN,0.375706833001459,2.2317408323287964,0.20833333333333334,0.17151012509503075,/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/results/baseline_quick_20260830_035215_315206/models/cnn.pt
