policy,accuracy,f1_macro,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_samples_per_s,offloaded_fraction,bandwidth_kb_per_sample,edge_model,cloud_model,hybrid_secondary_model
edge_only,0.5317271801832372,0.514410442844091,0.015085559826272198,0.013744807802140713,0.020862003788352013,0.032682307064533234,66288.55750241724,0.0,0.0,linear,gru,cnn
cloud_only,0.8907363420427553,0.8909875578220929,78.27657894656178,78.27622985839844,78.27828979492188,78.2795181274414,12.775213396623844,1.0,4.75,linear,gru,cnn
hybrid,0.8965049202578894,0.8970963086352,0.1499349171043575,0.20036977529525757,0.2157551348209381,0.22810687124729156,6669.560495398023,0.7125890736342043,0.0,linear,gru,cnn
