epoch,train_loss,val_loss,val_accuracy,val_f1_macro
1,0.6604541169137371,0.22408433424101937,0.927470534904805,0.9281567487686974
2,0.1634915437625379,0.1585544231865141,0.9365367180417045,0.937329206542906
3,0.12251739447214166,0.14140154172976813,0.9456029011786038,0.9476513047965637
4,0.10944823449363514,0.14173699915409088,0.9365367180417045,0.9395133562457474
5,0.1302061595630889,0.14315137184328502,0.9310970081595649,0.9334783395733036
6,0.10549239685036699,0.12599559128284454,0.9456029011786038,0.9471237364253945
7,0.09975310635505891,0.11167446855041716,0.9519492293744334,0.9536988075770202
8,0.09341963000443516,0.11549161043432024,0.9519492293744334,0.9536825826683272
9,0.08880132083229873,0.1313577869700061,0.9456029011786038,0.9483452843218453
10,0.08582578629863505,0.10745799955394533,0.9546690843155031,0.9569430589450687
