epoch,train_loss,val_loss,val_accuracy,val_f1_macro
1,1.6224640194250612,1.4037006563610501,0.43245693563009974,0.31389340541571925
2,1.2456163411237755,1.0560254984431796,0.6192203082502267,0.5495918241894641
3,0.8367029185197792,0.6984676983621385,0.7044424297370807,0.651763536098723
4,0.6613991880903438,0.6226284967528449,0.7751586582048957,0.7622907430426876
5,0.5831095053225147,0.5550444788402982,0.8259292837715322,0.8172956386522877
6,0.5073853779812248,0.45662279261483085,0.8939256572982774,0.8899896693200433
7,0.4074590145325174,0.35470832718743217,0.9229374433363554,0.9226943627369734
8,0.31248328728335245,0.27021606266498566,0.942883046237534,0.9443369627274222
9,0.24381780806852846,0.1938695874479082,0.956482320942883,0.958502717426503
10,0.18191895147367398,0.15919484860367245,0.9601087941976428,0.9624244707733514
