epoch,train_loss,val_loss,val_accuracy,val_f1_macro
1,1.4608236162029966,1.1580930683347914,0.6237533998186764,0.5627450001492802
2,0.9276288699130623,0.6730011834038628,0.8331822302810517,0.8226528932517811
3,0.4917871666197874,0.35383544862270355,0.9138712601994561,0.9142273108498591
4,0.29127510165681647,0.2420443445444107,0.9184043517679057,0.9195779199423684
5,0.21939242646402243,0.1982760156194369,0.927470534904805,0.9296243294677704
6,0.18451928621043964,0.17533070676856571,0.9347234814143246,0.9365018723053288
7,0.16472064369187064,0.15710970014333725,0.9374433363553943,0.9397156097048768
8,0.1510995521533246,0.1457999555601014,0.9446962828649139,0.9473000802267325
9,0.14119379252803568,0.13781780749559402,0.9537624660018132,0.9561098319306843
10,0.1336020520147012,0.12896806374192238,0.9492293744333635,0.9519203141545862
