model,model_label,training_time_s,best_val_loss,test_accuracy,test_f1_macro,checkpoint_path
linear,Linear baseline,0.1576475000474602,1.5083067417144775,0.6972222222222222,0.6722996620765864,/Users/tranhylap/Documents/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/results/baseline_quick_20260409_163522/models/linear.pt
mlp,Small MLP,0.11409129109233618,0.3337154649198055,0.9166666666666666,0.9149990082630486,/Users/tranhylap/Documents/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/results/baseline_quick_20260409_163522/models/mlp.pt
cnn,Tiny CNN,0.5286444160155952,2.2317408323287964,0.20833333333333334,0.17151012509503075,/Users/tranhylap/Documents/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/results/baseline_quick_20260409_163522/models/cnn.pt
