policy,accuracy,f1_macro,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_samples_per_s,offloaded_fraction,bandwidth_kb_per_sample,edge_model,cloud_model,hybrid_secondary_model
edge_only,0.6972222222222222,0.6722996620765864,0.019419313511914678,0.0186771210283041,0.02560415305197239,0.030291616916656494,51495.12619930937,0.0,0.0,linear,cnn,
cloud_only,0.20833333333333334,0.17151012509503075,42.2032457139757,42.20281219482422,42.20466232299805,42.207515716552734,23.69486002989689,1.0,0.375,linear,cnn,
hybrid,0.20833333333333334,0.17151012509503075,42.222665235731334,42.22154998779297,42.22956085205078,42.23476028442383,23.683962024115438,1.0,0.375,linear,cnn,
